[18:42:24:246 @31 main: Data loading: started
[18:42:24:344 @50 main: Hotels loading: started
[18:42:24:627 @29 main: File path is input/hotels/hotels.json
[18:42:25:000 @41 main: Hotel files are parsed. Number of hotels is 157
[18:42:25:001 @55 main: Hotels loading: done
[18:42:25:004 @59 main: Threads number: 3
[18:42:25:006 @62 main: Reviews loading: started
[18:42:25:026 @111 main: Worker working on input/reviews finished work
[18:42:25:031 @54 pool-2-thread-1: File path is input/reviews/SanCarlos/review200649.json
[18:42:25:071 @54 pool-2-thread-2: File path is input/reviews/SanCarlos/review14781.json
[18:42:25:074 @111 main: Worker working on input/reviews/SanCarlos finished work
[18:42:25:079 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review919198.json
[18:42:25:084 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review912982.json
[18:42:25:084 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review4432027.json
[18:42:25:085 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review662368.json
[18:42:25:086 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review1606984.json
[18:42:25:091 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review1321986.json
[18:42:25:091 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review533579.json
[18:42:25:097 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review50993.json
[18:42:25:106 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review5830.json
[18:42:25:108 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review476728.json
[18:42:25:113 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review20701.json
[18:42:25:114 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review910225.json
[18:42:25:119 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review2336.json
[18:42:25:119 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review22510.json
[18:42:25:120 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review26945.json
[18:42:25:126 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review11509.json
[18:42:25:127 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review8090040.json
[18:42:25:129 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review23383.json
[18:42:25:129 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review51116.json
[18:42:25:133 @111 main: Worker working on input/reviews/SanFrancisco finished work
[18:42:25:134 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review1145267.json
[18:42:25:134 @111 main: Worker working on input/reviews/SanFrancisco/SFOAirport finished work
[18:42:25:137 @111 main: Worker working on input/reviews/SanFrancisco/Hostels finished work
[18:42:25:146 @111 main: Worker working on input/reviews/SanFrancisco/UnionSq finished work
[18:42:25:147 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review7713.json
[18:42:25:149 @111 main: Worker working on input/reviews/SanFrancisco/FishermansWharf finished work
[18:42:25:150 @111 main: Worker working on input/reviews/SanFrancisco/FinancialDistrict finished work
[18:42:25:151 @111 main: Worker working on input/reviews/Emeryville finished work
[18:42:25:152 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review918527.json
[18:42:25:164 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review6505.json
[18:42:25:172 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review904482.json
[18:42:25:174 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review18437.json
[18:42:25:177 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review881699.json
[18:42:25:191 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review12539.json
[18:42:25:204 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review12493.json
[18:42:25:349 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review1515923.json
[18:42:25:362 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review522505.json
[18:42:25:370 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review18200.json
[18:42:25:386 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review876315.json
[18:42:25:412 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review693658.json
[18:42:25:442 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review287665.json
[18:42:25:447 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review6666.json
[18:42:25:451 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review7262522.json
[18:42:25:452 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review790530.json
[18:42:25:468 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review25860.json
[18:42:25:482 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review42336.json
[18:42:25:499 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review890830.json
[18:42:25:506 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review7942.json
[18:42:25:515 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review21073.json
[18:42:25:524 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review6271901.json
[18:42:25:544 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review5338.json
[18:42:25:550 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review897225.json
[18:42:25:585 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review41833.json
[18:42:25:632 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review789395.json
[18:42:25:681 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review1766605.json
[18:42:25:684 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review25271.json
[18:42:25:691 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review225819.json
[18:42:25:705 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review808403.json
[18:42:25:707 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review24620.json
[18:42:25:710 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review15254.json
[18:42:25:713 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review18962.json
[18:42:25:715 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review1588312.json
[18:42:25:717 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review8638.json
[18:42:25:731 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review6706717.json
[18:42:25:732 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review296720.json
[18:42:25:740 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review444672.json
[18:42:25:743 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review8647196.json
[18:42:25:745 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review11523.json
[18:42:25:746 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review791769.json
[18:42:25:750 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review5361249.json
[18:42:25:750 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review891239.json
[18:42:25:753 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review856888.json
[18:42:25:759 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review5875.json
[18:42:25:876 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review23406.json
[18:42:25:879 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review287112.json
[18:42:25:882 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review17616.json
[18:42:25:910 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review23774.json
[18:42:25:911 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review2406.json
[18:42:25:915 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review5984.json
[18:42:25:915 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review13950.json
[18:42:25:919 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review1146383.json
[18:42:25:967 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review27274.json
[18:42:25:920 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review14451.json
[18:42:25:984 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review438727.json
[18:42:25:985 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review14781.json
[18:42:25:991 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review283107.json
[18:42:25:991 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review19035.json
[18:42:25:993 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review26760.json
[18:42:26:015 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review5045.json
[18:42:26:026 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review16552.json
[18:42:26:027 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review22148.json
[18:42:26:033 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review9043627.json
[18:42:26:042 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review855749.json
[18:42:26:042 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review437098.json
[18:42:26:091 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review894295.json
[18:42:26:094 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review519729.json
[18:42:26:113 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review23581.json
[18:42:26:161 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review18320.json
[18:42:26:192 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review11793.json
[18:42:26:208 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review3552.json
[18:42:26:214 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review578899.json
[18:42:26:241 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review3308.json
[18:42:26:216 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review915510.json
[18:42:26:261 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review20191.json
[18:42:26:266 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review40682.json
[18:42:26:266 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review2536795.json
[18:42:26:280 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review790579.json
[18:42:26:288 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review15135.json
[18:42:26:288 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review18204.json
[18:42:26:306 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review883306.json
[18:42:26:306 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review19842.json
[18:42:26:313 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review57255.json
[18:42:26:313 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review7635.json
[18:42:26:333 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review24540.json
[18:42:26:351 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review564858.json
